Fold,cv_mode,seed,Test images,Test sessions,Accuracy (%),Macro F1 (%)
1,image,42.0,187.0,49.0,77.54,72.13
2,image,42.0,187.0,51.0,81.28,80.15
3,image,42.0,186.0,54.0,85.48,89.26
Mean±Std,,,,,81.43±3.97,80.51±8.57
