Model,Accuracy (%),Precision (%),Recall (%),Macro F1 (%),Size(MB),CPU(ms)
EfficientNet-B0 (No Attention),86.7,90.8,90.4,90.2,15.6,
EfficientNet-B0 + SE,88.3,91.6,91.5,91.4,16.38,
EfficientNet-B0 + CBAM,80.0,75.2,85.7,76.3,16.38,
Agri-EfficientNet + LFA (Ours),86.7,82.1,90.4,84.2,15.6,
