Model,Accuracy (%),Precision (%),Recall (%),Macro F1 (%),Params(M),Size(MB),CPU(ms)
ResNet-101,85.7,91.6,89.9,89.4,42.51,162.77,
ConvNeXt-Tiny,82.1,88.0,87.3,86.5,27.82,106.21,
EfficientNetV2-S,78.6,88.8,84.7,83.9,20.18,77.86,
MobileNetV3-Large,75.0,77.9,82.2,77.6,4.21,16.25,
EfficientNet-B0 (No LFA),76.8,86.2,74.8,76.6,4.01,15.6,
Agri-EfficientNet (Ours),76.8,86.2,74.8,76.6,4.02,15.61,
MobileNetV2,76.8,87.0,74.8,76.4,2.23,8.74,
VGG-16,75.0,83.6,73.4,75.7,134.28,512.25,
ResNet-50,73.2,82.8,72.3,72.9,23.52,90.02,
ShuffleNetV2-1.0x,17.9,20.8,40.0,21.6,1.26,4.97,
