Model,Perturbation,Macro F1 (%)
Agri-EfficientNet (LFA),Clean (Baseline),76.6
Agri-EfficientNet (LFA),Gaussian Noise,40.5
Agri-EfficientNet (LFA),Low Brightness,82.3
Agri-EfficientNet (LFA),High Brightness,78.1
Agri-EfficientNet (LFA),Motion Blur,73.1
Agri-EfficientNet (LFA),Occlusion (30%),78.2
ResNet-50 (Baseline),Clean (Baseline),72.9
ResNet-50 (Baseline),Gaussian Noise,77.2
ResNet-50 (Baseline),Low Brightness,78.5
ResNet-50 (Baseline),High Brightness,64.5
ResNet-50 (Baseline),Motion Blur,76.2
ResNet-50 (Baseline),Occlusion (30%),72.9
EfficientNet-B0 (No LFA),Clean (Baseline),76.6
EfficientNet-B0 (No LFA),Gaussian Noise,43.6
EfficientNet-B0 (No LFA),Low Brightness,81.1
EfficientNet-B0 (No LFA),High Brightness,66.6
EfficientNet-B0 (No LFA),Motion Blur,72.9
EfficientNet-B0 (No LFA),Occlusion (30%),78.5
