Comparison,Chi2,p-value,Significant (p<0.05)
Agri-EfficientNet (LFA) vs EfficientNet-B0 (No Attention),0.25,0.617075,No
Agri-EfficientNet (LFA) vs EfficientNet-B0 + SE,0.5,0.4795,No
Agri-EfficientNet (LFA) vs EfficientNet-B0 + CBAM,0.8,0.371093,No
Agri-EfficientNet (LFA) vs ResNet-50,0.9,0.342782,No
