Fold,cv_mode,seed,Test images,Test sessions,Accuracy (%),Macro F1 (%)
1,image,2.0,187.0,52.0,85.03,82.74
2,image,2.0,187.0,55.0,87.17,83.69
3,image,2.0,186.0,51.0,76.34,73.41
Mean±Std,,,,,82.85±5.74,79.95±5.68
