Model,Accuracy (%),Precision (%),Recall (%),Macro F1 (%),Params(M),Size(MB),CPU(ms)
ResNet-101,93.3,95.3,95.2,95.2,42.51,162.77,
ConvNeXt-Tiny,91.7,94.0,94.0,94.0,27.82,106.21,
EfficientNetV2-S,90.0,92.8,92.8,92.8,20.18,77.86,
MobileNetV3-Large,90.0,93.3,92.6,92.7,4.21,16.25,
MobileNetV2,81.7,88.0,86.8,86.2,2.23,8.74,
ResNet-50,80.0,85.5,85.6,85.5,23.52,90.02,
VGG-16,86.7,81.8,90.2,83.9,134.28,512.25,
EfficientNet-B0 (No LFA),85.0,81.2,89.3,82.9,4.01,15.6,
Agri-EfficientNet (Ours),83.3,77.1,86.9,78.4,4.02,15.61,
ShuffleNetV2-1.0x,16.7,20.4,40.0,20.8,1.26,4.97,
