Model,Perturbation,Macro F1 (%)
Agri-EfficientNet (LFA),Clean (Baseline),78.4
Agri-EfficientNet (LFA),Gaussian Noise,37.7
Agri-EfficientNet (LFA),Low Brightness,89.0
Agri-EfficientNet (LFA),High Brightness,81.1
Agri-EfficientNet (LFA),Motion Blur,60.7
Agri-EfficientNet (LFA),Occlusion (30%),79.0
ResNet-50 (Baseline),Clean (Baseline),85.5
ResNet-50 (Baseline),Gaussian Noise,77.6
ResNet-50 (Baseline),Low Brightness,78.2
ResNet-50 (Baseline),High Brightness,85.2
ResNet-50 (Baseline),Motion Blur,61.3
ResNet-50 (Baseline),Occlusion (30%),83.3
EfficientNet-B0 (No LFA),Clean (Baseline),82.9
EfficientNet-B0 (No LFA),Gaussian Noise,38.0
EfficientNet-B0 (No LFA),Low Brightness,87.7
EfficientNet-B0 (No LFA),High Brightness,87.3
EfficientNet-B0 (No LFA),Motion Blur,69.7
EfficientNet-B0 (No LFA),Occlusion (30%),90.2
