Model,Accuracy (%),Precision (%),Recall (%),Macro F1 (%),Params(M),Size(MB),CPU(ms)
ConvNeXt-Tiny,96.7,97.9,97.6,97.6,27.82,106.21,
VGG-16,95.0,96.6,96.3,96.3,134.28,512.25,
ResNet-101,93.3,95.4,95.2,95.2,42.51,162.77,
EfficientNetV2-S,91.7,94.0,94.0,94.0,20.18,77.86,
ResNet-50,88.3,91.7,91.6,91.6,23.52,90.02,
MobileNetV3-Large,88.3,91.6,91.5,91.4,4.21,16.25,
MobileNetV2,85.0,89.2,89.1,88.9,2.23,8.74,
Agri-EfficientNet (Ours),86.7,81.7,89.2,83.5,4.02,15.61,
EfficientNet-B0 (No LFA),85.0,81.2,89.3,82.9,4.01,15.6,
ShuffleNetV2-1.0x,16.7,20.4,40.0,20.8,1.26,4.97,
