Model,Perturbation,Macro F1 (%)
Agri-EfficientNet (LFA),Clean (Baseline),83.5
Agri-EfficientNet (LFA),Gaussian Noise,47.9
Agri-EfficientNet (LFA),Low Brightness,91.1
Agri-EfficientNet (LFA),High Brightness,86.2
Agri-EfficientNet (LFA),Motion Blur,58.1
Agri-EfficientNet (LFA),Occlusion (30%),89.0
ResNet-50 (Baseline),Clean (Baseline),91.6
ResNet-50 (Baseline),Gaussian Noise,80.5
ResNet-50 (Baseline),Low Brightness,88.1
ResNet-50 (Baseline),High Brightness,91.5
ResNet-50 (Baseline),Motion Blur,73.5
ResNet-50 (Baseline),Occlusion (30%),90.3
EfficientNet-B0 (No LFA),Clean (Baseline),82.9
EfficientNet-B0 (No LFA),Gaussian Noise,54.8
EfficientNet-B0 (No LFA),Low Brightness,89.0
EfficientNet-B0 (No LFA),High Brightness,87.3
EfficientNet-B0 (No LFA),Motion Blur,63.4
EfficientNet-B0 (No LFA),Occlusion (30%),81.5
