Model,Accuracy (%),Precision (%),Recall (%),Macro F1 (%),Size(MB),CPU(ms)
EfficientNet-B0 (No Attention),85.0,80.1,89.1,82.9,15.6,
EfficientNet-B0 + SE,88.3,91.8,91.5,91.4,16.38,
EfficientNet-B0 + CBAM,83.3,79.0,87.9,81.6,16.38,
Agri-EfficientNet + LFA (Ours),86.7,83.1,90.5,84.1,15.6,
