Class,Type,Precision,Recall,F1,Support,Cross_Country
Algal,Disease,100.0,64.7,78.6,17,Yes
Leaf_rot,Disease,71.4,93.8,81.1,16,Yes
Phomopsis,Disease,94.1,94.1,94.1,17,Yes
Pink_disease,Disease,50.0,100.0,66.7,1,Yes
Root_disease,Disease,100.0,100.0,100.0,9,Yes
