Model,Perturbation,Macro F1 (%)
Agri-EfficientNet (LFA),Clean (Baseline),80.9
Agri-EfficientNet (LFA),Gaussian Noise,47.2
Agri-EfficientNet (LFA),Low Brightness,85.3
Agri-EfficientNet (LFA),High Brightness,90.3
Agri-EfficientNet (LFA),Motion Blur,58.9
Agri-EfficientNet (LFA),Occlusion (30%),86.6
ResNet-50 (Baseline),Clean (Baseline),85.5
ResNet-50 (Baseline),Gaussian Noise,75.5
ResNet-50 (Baseline),Low Brightness,87.0
ResNet-50 (Baseline),High Brightness,87.8
ResNet-50 (Baseline),Motion Blur,68.7
ResNet-50 (Baseline),Occlusion (30%),80.5
EfficientNet-B0 (No LFA),Clean (Baseline),82.8
EfficientNet-B0 (No LFA),Gaussian Noise,54.4
EfficientNet-B0 (No LFA),Low Brightness,91.4
EfficientNet-B0 (No LFA),High Brightness,88.4
EfficientNet-B0 (No LFA),Motion Blur,63.2
EfficientNet-B0 (No LFA),Occlusion (30%),84.1
