Fold,cv_mode,seed,Test images,Test sessions,Accuracy (%),Macro F1 (%)
1,image,1.0,187.0,55.0,74.33,72.22
2,image,1.0,187.0,50.0,82.35,81.16
3,image,1.0,186.0,50.0,82.8,82.84
Mean±Std,,,,,79.83±4.77,78.74±5.71
