Model,Accuracy (%),Precision (%),Recall (%),Macro F1 (%),Params(M),Size(MB),CPU(ms)
ConvNeXt-Tiny,98.3,98.9,98.8,98.8,27.82,106.21,
VGG-16,95.0,96.6,96.3,96.3,134.28,512.25,
EfficientNetV2-S,93.3,95.5,95.1,95.2,20.18,77.86,
MobileNetV3-Large,91.7,94.3,93.9,93.9,4.21,16.25,
ResNet-101,90.0,92.9,92.8,92.8,42.51,162.77,
MobileNetV2,81.7,86.6,86.7,86.4,2.23,8.74,
ResNet-50,80.0,85.4,85.6,85.5,23.52,90.02,
EfficientNet-B0 (No LFA),85.0,80.8,89.3,82.8,4.01,15.6,
Agri-EfficientNet (Ours),86.7,79.4,89.4,80.9,4.02,15.61,
ShuffleNetV2-1.0x,16.7,20.4,40.0,20.8,1.26,4.97,
