Fold,cv_mode,seed,Test images,Test sessions,Accuracy (%),Macro F1 (%)
1,group,1.0,199.0,24.0,52.26,52.95
2,group,1.0,195.0,23.0,74.87,60.87
3,group,1.0,166.0,26.0,65.66,71.08
Mean±Std,,,,,64.26±11.37,61.63±9.09
