Comparison,Chi2,p-value,Significant (p<0.05)
Agri-EfficientNet (LFA) vs EfficientNet-B0 (No Attention),0.8,0.371093,No
Agri-EfficientNet (LFA) vs EfficientNet-B0 + SE,0.25,0.617075,No
Agri-EfficientNet (LFA) vs EfficientNet-B0 + CBAM,0.8,0.371093,No
Agri-EfficientNet (LFA) vs ResNet-50,0.125,0.723674,No
