Model,Perturbation,Macro F1 (%)
Agri-EfficientNet (LFA),Clean (Baseline),72.0
Agri-EfficientNet (LFA),Gaussian Noise,47.1
Agri-EfficientNet (LFA),Low Brightness,78.5
Agri-EfficientNet (LFA),High Brightness,77.8
Agri-EfficientNet (LFA),Motion Blur,70.9
Agri-EfficientNet (LFA),Occlusion (30%),73.6
ResNet-50 (Baseline),Clean (Baseline),78.4
ResNet-50 (Baseline),Gaussian Noise,84.1
ResNet-50 (Baseline),Low Brightness,82.6
ResNet-50 (Baseline),High Brightness,75.6
ResNet-50 (Baseline),Motion Blur,76.6
ResNet-50 (Baseline),Occlusion (30%),78.9
EfficientNet-B0 (No LFA),Clean (Baseline),72.3
EfficientNet-B0 (No LFA),Gaussian Noise,42.9
EfficientNet-B0 (No LFA),Low Brightness,79.7
EfficientNet-B0 (No LFA),High Brightness,69.3
EfficientNet-B0 (No LFA),Motion Blur,69.6
EfficientNet-B0 (No LFA),Occlusion (30%),77.7
