Model,Accuracy (%),Precision (%),Recall (%),Macro F1 (%),Params(M),Size(MB),CPU(ms)
EfficientNetV2-S,85.7,92.0,89.8,89.6,20.18,77.86,
ResNet-101,85.7,90.7,89.8,89.6,42.51,162.77,
ConvNeXt-Tiny,73.2,82.4,81.1,78.4,27.82,106.21,
ResNet-50,73.2,82.4,81.1,78.4,23.52,90.02,
MobileNetV3-Large,75.0,82.7,73.5,74.5,4.21,16.25,
EfficientNet-B0 (No LFA),73.2,85.3,72.4,72.3,4.01,15.6,
Agri-EfficientNet (Ours),75.0,74.2,73.6,72.0,4.02,15.61,
MobileNetV2,82.1,68.7,69.8,68.5,2.23,8.74,
VGG-16,69.6,79.5,69.8,68.2,134.28,512.25,
ShuffleNetV2-1.0x,17.9,20.8,40.0,21.6,1.26,4.97,
