Model,Accuracy (%),Precision (%),Recall (%),Macro F1 (%),Params(M),Size(MB),CPU(ms)
EfficientNetV2-S,87.5,91.7,91.1,90.9,20.18,77.86,
VGG-16,87.5,91.3,82.2,85.0,134.28,512.25,
ConvNeXt-Tiny,76.8,84.6,83.5,82.6,27.82,106.21,
Agri-EfficientNet (Ours),82.1,90.3,78.7,80.8,4.02,15.61,
ResNet-101,80.4,90.0,77.4,79.0,42.51,162.77,
ResNet-50,75.0,83.8,73.5,75.1,23.52,90.02,
MobileNetV3-Large,71.4,80.2,70.9,72.6,4.21,16.25,
EfficientNet-B0 (No LFA),75.0,77.1,73.7,71.2,4.01,15.6,
MobileNetV2,71.4,89.7,71.2,70.1,2.23,8.74,
ShuffleNetV2-1.0x,17.9,16.9,40.0,19.4,1.26,4.97,
