Model,Accuracy (%),Precision (%),Recall (%),Macro F1 (%),Size(MB),CPU(ms)
EfficientNet-B0 (No Attention),78.6,87.2,76.1,78.2,15.6,
EfficientNet-B0 + SE,73.2,75.7,72.4,69.3,16.38,
EfficientNet-B0 + CBAM,73.2,85.3,72.4,72.3,16.38,
Agri-EfficientNet + LFA (Ours),80.4,87.3,77.3,79.6,15.6,
