Model,Perturbation,Macro F1 (%)
Agri-EfficientNet (LFA),Clean (Baseline),80.8
Agri-EfficientNet (LFA),Gaussian Noise,31.9
Agri-EfficientNet (LFA),Low Brightness,77.8
Agri-EfficientNet (LFA),High Brightness,79.9
Agri-EfficientNet (LFA),Motion Blur,69.9
Agri-EfficientNet (LFA),Occlusion (30%),77.0
ResNet-50 (Baseline),Clean (Baseline),75.1
ResNet-50 (Baseline),Gaussian Noise,84.0
ResNet-50 (Baseline),Low Brightness,91.0
ResNet-50 (Baseline),High Brightness,70.7
ResNet-50 (Baseline),Motion Blur,68.4
ResNet-50 (Baseline),Occlusion (30%),79.4
EfficientNet-B0 (No LFA),Clean (Baseline),71.2
EfficientNet-B0 (No LFA),Gaussian Noise,40.7
EfficientNet-B0 (No LFA),Low Brightness,77.0
EfficientNet-B0 (No LFA),High Brightness,68.9
EfficientNet-B0 (No LFA),Motion Blur,71.9
EfficientNet-B0 (No LFA),Occlusion (30%),65.9
